380.19342 0.28222
387.15667 0.09407
400.69632 0.09407
412.30174 0.28222
421.97292 0.94073
430.87041 2.63405
440.15474 7.99624
444.60348 14.95767
447.89168 22.67168
450.01934 27.93979
452.92070 31.32643
455.24178 30.00941
456.59574 28.31609
460.46422 23.70649
464.33269 23.14205
467.23404 23.33020
470.52224 21.73095
474.97099 19.09690
478.45261 19.09690
485.80271 22.29539
495.28046 28.12794
503.98453 34.33678
512.10832 39.04045
519.84526 42.99153
530.29014 47.31891
542.28240 51.83443
553.11412 55.22107
562.39845 57.66698
579.22631 62.37065
590.05803 68.01505
598.37524 73.84760
606.30561 80.80903
612.49516 86.45343
620.03868 93.03857
627.38878 97.64817
636.47969 99.90593
643.24952 99.05927
650.79304 95.29633
658.72340 88.89934
667.23404 80.05644
675.16441 70.64911
683.28820 60.67733
691.60542 51.08184
701.08317 40.73377
710.36750 32.07902
720.03868 24.74130
731.83752 17.59172
743.05609 12.51176
754.46809 8.74882
768.20116 5.64440
780.00000 4.23330
